"V01_Row_ID","Chapter","Zone","Building","Area","Feature","Subfeature","Semantic_Object_or_Group","Evidence_Class","Evidence_Source","Physical_Location","Functional_Role","Must_Show","Recommended_Shot_Type","Recommended_Camera_Height","Recommended_View_Direction","Recommended_Duration_Sec","Needs_Multiple_Angles","Needs_World_Label","Needs_Overlay","Needs_Animation","Associated_Features","Coverage_Criteria","Potential_Occlusion","Technical_Risk","Planning_State","Notes","V02_Status","Evidence_Closure","Final_Evidence_Source","Final_Shot_IDs","Final_Coverage_Duration","Coverage_Confidence"
"CH02-06","CH02 — ARRIVAL + SUSTAINABILITY","ARRIVAL","Campus public realm","Protected movement","Pedestrian-first arrival","Protected spine, crossings and wayfinding","NAV_TARGET_MAIN_ARRIVAL; SMART_TOTEM_CAMPUS_*; AMR_SPINE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","South/west arrival to plaza and production transition","Separate people circulation from service movement","Show pedestrian path, crossings, totems and relation to road/logistics","walking-height dolly with gentle crane","walking height","south arrival toward plaza","14","Y","Y","pedestrian route overlay","N","Solar carport; POVU Plaza; logistics","Viewer understands safe arrival logic","Trees and planters can hide crossings","Use restrained route line","REQUIRED","Safety presentation, not engineering compliance claim.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S009","14","HIGH"
"CH03-01","CH03 — POVU VIP EXPERIENCE","VIP","VIP approach","Arrival marker","Flagship Smart Totem","Single VIP flagship","SMART_TOTEM_VIP_BODY; SMART_TOTEM_VIP_SCREEN; SMART_TOTEM_VIP_LIGHT","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","VIP approach / POVU Plaza south edge","Welcome and visitor information","Approach, pause, show screen/light and point toward VIP entrance","slow dolly and hold","walking height","southwest toward VIP entrance","15","Y","Y","VIP SMART TOTEM","N","VIP canopy; Living Wall; Water Wall","Totem is identifiable and spatially connected to destination","Foreground landscaping can overlap base","Label must track without covering screen","REQUIRED","One flagship, not a generic campus totem.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S010","15","HIGH"
"CH03-02","CH03 — POVU VIP EXPERIENCE","VIP","VIP entrance","Living Wall","Extended Living Wall","Full usable left wall","LIVING_WALL_PANEL; LIVING_WALL_PANEL001; VIP_LivingWall; LIVING_WALL_EXTENDED_BACKING; LIVING_WALL_FOLIAGE*","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","VIP left wall x approximately -97.4 to -65.1","Biophilic arrival edge","Show scale from end to end and relation to doors/portal/circulation","slow oblique lateral reveal","eye to 5m","west to east along wall","20","Y","N","LIVING WALL / EXTENDED","N","VIP doors; canopy; Water Wall","Full continuous wall reads as a destination","Trees can occlude lower wall","Use two angles if foliage masks continuity","REQUIRED","New REV004.1 extension is frozen and must not be edited.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S011","20","HIGH"
"CH03-03","CH03 — POVU VIP EXPERIENCE","VIP","VIP entrance","Water Wall","Contextual Water Wall","Structure, basin and branding","POVU_WATER_WALL_7M; POVU_WATER_WALL_FRAME; POVU_WATER_WALL_BASIN; WATER_WALL_POVU_SIGNAGE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","VIP frontage near x-58,y-92","Signature threshold and water feature","Show Water Wall between Living Wall and VIP entry with basin and POVU identity","slow approach from plaza","walking height","southwest toward wall and entry","24","Y","Y","WATER WALL / VIP","Y","Living Wall; VIP doors; Smart Totem","Viewer understands it as an arrival threshold","Signage may sit behind falling water","Requires shader animation in final renderer","REQUIRED","At least one contextual shot.","MERGED_ANCHOR","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S012","34","HIGH"
"CH03-04","CH03 — POVU VIP EXPERIENCE","VIP","VIP entrance","Water Wall","Water Wall detail","Falling water, crest, basin","WATER_WALL_STRUCTURE; WATER_WALL_TOP_FEED; WATER_WALL_WATER_SURFACE; POVU_WATER_WALL_BASIN_WATER; VIP_Waterfall","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Water Wall face and basin","Make water behavior visible","Close detail of falling water from crest to basin with readable branded context","near-static macro hold with subtle push","eye level","front then slight side","22","Y","N","WATER WALL DETAIL","Y","Basin; POVU sign","Falling water is unmistakably animated and lands in basin","Fine water may alias at distance","Need frame-driven deterministic animation","REQUIRED","Dedicated detail, not background texture.","MERGED_INTO","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S012","34","HIGH"
"CH03-05","CH03 — POVU VIP EXPERIENCE","VIP","VIP entrance","Entrance portal","Glass doors and lobby","Portal, double doors, mullion, lobby floor","VIP_ENTRANCE_CANOPY; VIP_ENTRANCE_DOOR_L/R; VIP_ENTRANCE_FRAME_*; VIP_ENTRANCE_LOBBY_FLOOR","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","VIP entrance centered around x-58,y-79","Actual visitor entry","Show portal, doors, threshold and lobby visibility with breathing room","restrained frontal hold then short dolly","eye level","front-on then 15-degree oblique","18","Y","Y","VIP ENTRANCE","N","Living Wall; Water Wall; POVU identity","Door and lobby relationship is clear","Canopy/columns can occlude signage","Keep camera off centerline for door readability","REQUIRED","No 5-second flyby.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S013","18","HIGH"
"CH03-06","CH03 — POVU VIP EXPERIENCE","VIP","VIP frontage","Identity relationship","POVU identity composition","Signage and threshold ensemble","POVU_VIP_SIGN; VIP_ENTRANCE_SIGNAGE; POVU_WATER_WALL_7M; LIVING_WALL_EXTENDED_BACKING","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","VIP frontage","Close chapter with coherent brand arrival","Wide hero holds all VIP elements together","gentle arc and hold","medium height","eastward arc around threshold","16","Y","Y","POVU VIP / arrival guide","Y","Smart Totem; canopy; basin","Viewer can name the complete VIP experience","Elements span wide frame","Need enough focal length to avoid distortion","REQUIRED","Departs toward public realm.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S014","16","HIGH"
"CH04-01","CH04 — LANDMARKS + PEOPLE CAMPUS","PUBLIC REALM","Hands of Growth","Landmark","Hands of Growth","Full sculpture and world-tracked label","HANDS_OF_GROWTH; HOG_HAND_LEFT; HOG_HAND_RIGHT; HOG_TREE_TRUNK; HOG_TREE_CROWN; HOG_PLINTH; LABEL_ANCHOR_HANDS_OF_GROWTH","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","POVU Plaza / landmark at approximately x-108,y-79","Human-capability landmark","Show full sculpture, hands, tree, crown, plinth and label","slow approach then near-static hero","walking height","southwest toward landmark","20","Y","Y","HANDS OF GROWTH / People • Skills • Future","N","POVU Plaza; Smart Totem; landscape","Label points to actual crown/landmark and remains readable","Trees may compete with crown","World-space label tracking required","REQUIRED","One authoritative HOG root.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S015","20","HIGH"
"CH04-02","CH04 — LANDMARKS + PEOPLE CAMPUS","PUBLIC REALM","POVU Plaza","Public realm","Plaza relationship","Paths, seating/planters and landmark orientation","NAV_TARGET_POVU_PLAZA; BENCH_PLANTER*; SMART_TOTEM_CAMPUS_01_*","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","POVU Plaza west/south public realm","Give people-scale context","Show how HOG, totem, paths and planting form a civic arrival space","walking-height lateral track","eye level","around plaza perimeter","18","Y","N","POVU PLAZA","N","HOG; Organic Canopy; arrival spine","Viewer understands plaza as a place, not empty foreground","Landscaping can hide ground details","Use low camera to show circulation","REQUIRED","Context shot after landmark detail.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S016","18","HIGH"
"CH04-03","CH04 — LANDMARKS + PEOPLE CAMPUS","PUBLIC REALM","Organic Canopy","Public realm","Organic Canopy","Branch/canopy structure","CANOPY_BRANCH*; NAV_TARGET_ORGANIC_CANOPY","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","West/north public realm near HOG and employee landscape","Shade and social structure","Show canopy geometry, shade effect, approach and relation to paths","slow crane down through canopy","medium to eye level","under-canopy toward plaza","18","Y","N","ORGANIC CANOPY","N","Benches/planters; Garden Pods; plaza","Canopy reads as a distinct destination","Branches can silhouette against bright sky","Keep exposure consistent with R02 system","REQUIRED","Do not merge with generic tree cover.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S017","18","HIGH"
"CH04-04","CH04 — LANDMARKS + PEOPLE CAMPUS","PUBLIC REALM","Employee campus","Garden Pods","Garden Pods / social spaces","Tables, decks, planted edges","GARDENPOD_TABLE; GARDENPOD_DECK_00; employee landscape groups","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","People campus / public realm","Show employee social use","Show pods from exterior context to deck/table detail","gentle dolly with short hold","eye level","along social spine","18","Y","N","GARDEN PODS","N","Academy; café; employee gardens","Pod/deck/table relationship is readable","No people assets are confirmed","Use graphic suggestion, not simulated occupancy","REQUIRED","Modeled function, no invented people.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S018","18","HIGH"
"CH04-05","CH04 — LANDMARKS + PEOPLE CAMPUS","PUBLIC REALM","Employee campus","Gardens","Employee garden and reflection landscape","Pond, benches, planting","PRES_42_EMPLOYEE_GARDENS; EMPLOYEE_REFLECTION_POND; GARDEN_BENCH; TREE_CANOPY021","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Employee garden / reflection edge","Restorative employee landscape","Show water/green/bench relationship and path connection","slow arc and low hold","eye level","garden edge toward pond","16","Y","N","EMPLOYEE GARDENS","N","Restaurant; Wellness; pedestrian spine","Functional landscape is distinct from decorative planting","Trees may hide pond edge","Reflection water may need material QA","REQUIRED","Use existing R02 visual treatment.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S019","16","HIGH"
"CH05-01","CH05 — KNOWLEDGE + PEOPLE FACILITIES","PEOPLE CAMPUS","Admin / HQ","Exterior and entry","Administration / HQ","Façade, signage, canopy, doors","ADMIN_HQ_ENTRANCE_*; ADMIN_HQ_ENTRANCE_SIGNAGE; Admin_RD_QC","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","People campus west/south edge","Administrative front door","Show façade language, entrance, glazing, signage and landscape connection","slow façade reveal to entrance hold","eye level","oblique along façade","18","Y","Y","ADMIN / HQ","N","R&D/QC; Experience Link","Building identity and entry are unambiguous","Shared massing with R&D can confuse","Use signage and distinct angle","REQUIRED","Prior V03 route exists.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S020","18","HIGH"
"CH05-02","CH05 — KNOWLEDGE + PEOPLE FACILITIES","PEOPLE CAMPUS","R&D / QC","Exterior and entry","R&D / QC Innovation Centre","Entrance, glazing, green roof, meeting/MES relationship","R_D_QC_ENTRANCE_*; R_D_QC_ENTRANCE_SIGNAGE; GREEN_ROOF_Admin_RD_QC; MEETING_TABLE; MES_SCREEN","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","People campus adjacent to HQ","Research, quality and innovation destination","Show exterior, entry, green roof cue and interior/operations relationship where modeled","slow approach through façade to interior glimpse","eye level","front oblique to glazing","18","Y","Y","R&D / QC","N","Admin/HQ; MES; Glass Deck","Viewer understands R&D/QC as a distinct facility","Glass reflection can hide interior","Interior geometry may be limited","REQUIRED","Do not claim unmodeled labs.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S021","18","HIGH"
"CH05-03","CH05 — KNOWLEDGE + PEOPLE FACILITIES","PEOPLE CAMPUS","POVU Academy","Training","Training / Academy","Multipurpose studio and experience roof","MULTIPURPOSE_STUDIO; EXPERIENCE_ROOF; EXPERIENCE_LINK; GARDENPOD_TABLE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","People campus / experience link","Learning and capability development","Show modeled studio/roof/deck relationship and label training as planned use","slow exterior-to-entry move","eye level","toward studio and link","16","Y","Y","POVU ACADEMY","N","Garden Pods; employee campus","Modeled learning destination is clear","Training-specific signage not named","Do not show invented classroom equipment","REQUIRED","Training is a facility route, not proof of program fit-out.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S022","16","HIGH"
"CH05-04","CH05 — KNOWLEDGE + PEOPLE FACILITIES","PEOPLE CAMPUS","Restaurant / Café","Dining","Restaurant / POVU Café","Terrace, glass front, tables, water channel","RESTAURANT_ENTRANCE_*; RESTAURANT_ENTRANCE_SIGNAGE; CAFE_TERRACE; CAFE_TABLE; CAFE_GLASS_FRONT; CAFE_WATER_CHANNEL","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","South people campus","Dining and social relationship","Show entry, glass front, terrace/table and outdoor water/landscape connection","slow dolly with terrace hold","eye level","front to terrace","16","Y","Y","RESTAURANT / CAFÉ","N","Employee garden; wellness","Dining destination is understood as inside/outside experience","Trees can hide terrace","Need coverage beyond façade","REQUIRED","Use modeled terrace only.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S023","16","HIGH"
"CH05-05","CH05 — KNOWLEDGE + PEOPLE FACILITIES","PEOPLE CAMPUS","Wellness / Recreation","Wellness","Wellness and recreation","Pavilion, court, gym, fitness garden","WELLNESS_ENTRANCE_*; WELLNESS_ENTRANCE_SIGNAGE; WELLNESS_PAVILION; RECREATION_COURT; GYM_MACHINE_00; FITNESS_GARDEN","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","South/east people campus","Employee wellbeing","Show pavilion entry, court, equipment cue and garden relationship","slow arc with detail insert","eye level","pavilion toward court/garden","16","Y","Y","WELLNESS / RECREATION","N","Employee gardens; daycare","Facility reads as wellbeing destination, not generic landscape","Court/pavilion may split across frame","Interior detail limited","REQUIRED","No claims beyond modeled elements.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S024","16","HIGH"
"CH05-06","CH05 — KNOWLEDGE + PEOPLE FACILITIES","PEOPLE CAMPUS","Daycare / Clinic","Family and health","Daycare and occupational health","Separate entries and immediate landscape","DAYCARE_ENTRANCE_*; DAYCARE_ENTRANCE_SIGNAGE; DAYCARE_GARDEN; DAYCARE_SHADE; PLAY_TOWER; CLINIC_ENTRY; CLINIC_BED; CLINIC_CANOPY; EMERGENCY_SHOWER","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","People campus west/south facilities","Family support and occupational health","Cover daycare and clinic as two short, clearly labeled destinations","two restrained approach shots with match cut","eye level","daycare to clinic","14","Y","Y","DAYCARE / OCCUPATIONAL HEALTH","N","Wellness; pedestrian spine","Both facilities are independently identifiable","Shared landscape may blur destinations","Need separate labels and entrances","REQUIRED","Grouped row, two distinct subshots.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S025","14","HIGH"
"CH06-01","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","GLASS DECK","Glass Deck","Exterior","Glass Deck exterior","Glazing, link and façade relationship","GLASS_DECK_LINK; GlassDeck_East; GlassDeck_West; DECK_TIMBER_FLOOR","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","North/central production edge","Signature visitor overlook","Establish full Glass Deck and its relationship to production shell","slow crane and lateral hold","medium aerial to eye level","west/east along glazing","18","Y","Y","GLASS DECK","N","East/West/Central access; Production Hall","Viewer knows where the deck is and why it matters","Glazing can reflect neutral sky","Hold long enough to inspect","REQUIRED","Exterior establishment only; entry follows.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S026","18","HIGH"
"CH06-02","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","GLASS DECK","Glass Deck","Access","East stair","Full 12-step access run","GLASS_DECK_EAST_STAIR; GLASS_DECK_EAST_STAIR_STEP_01..12; PRES_GLASS_DECK_EAST_ACCESS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","East edge of Glass Deck","Credible visitor access","Show stair start, complete run, landing and deck entry","slow walking-height climb","walking height","bottom to top of east stair","24","Y","Y","EAST GLASS DECK ACCESS","N","Glass glazing; deck floor","Complete access is visually traceable","Source massing partly occludes east view","Use alternate oblique if needed","REQUIRED","Prior M03 notes partial presentation occlusion.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S027","24","HIGH"
